Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
BL001271,400002018827,30536598,7000203015,D0701,3000,2752382535517,CTO-40295,CTO,A3-G,130,JOHAR,AMR,24.92463224,67.11824756,508214,A.D.B.P S/S,,,3067,A.D.B.P S/S,0
DP002726,400026365188,32556006,7002575927,I0108,5508,2952285810057,Hook,Inactive,E-1_I,147,GADAP,Inactive,0,0,526271,AGRO EXPORT PROCESSING ZONE PMT 01,,,3464,AGRO EXPORT PROCESSING ZONE PMT 01,0
AL135711,400002077440,30517451,7000205664,D0101,3506,2852284379253,TY32049,Three,A1-R,145,TIPUSULTAN,Non AMR,24.86917848,67.08003212,9009,HAROON JAFFAR PMT 2,,,3258,HAROON JAFFAR PMT 2,0
AL216582,400002235957,30520443,7000208222,D0101,3506,2852284453755,TY47110,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL066702,400002235917,30520410,7000207862,D0101,3506,2852284453712,TL70449,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL066703,400002235933,30520428,7000207879,D0101,3506,2852284453739,TJ23625,Three,A3-G,145,TIPUSULTAN,Non AMR,24.87446,67.0926317,505621,KDA SCHEME-1 PMT (B-30) PMT,,,486,KDA SCHEME-1 PMT (B-30) PMT,0
AL216583,400002235798,30520359,7000207807,D0101,3506,2852284453658,CTO-51933,CTO,A3-G,145,TIPUSULTAN,AMR,24.87347656,67.09287956,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
AL022067,400002235828,30520374,7000207825,D0101,3506,2852284453674,Inactive,Inactive,A1-R,145,TIPUSULTAN,Inactive,0,0,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
AL020148,400002235852,30520392,7000207841,D0101,3506,2852284453690,Inactive,Inactive,A1-R,145,TIPUSULTAN,Inactive,0,0,7250,RULER OF DUBI D/PMT LHS,,,482,RULER OF DUBI D/PMT LHS,0
BL007392,400029821443,32887685,7002916561,F0401,335,,CTO-55206,CTO,A3-G,148,SHAH FAISAL,AMR,24.89593757,67.13926133,528829,ASF SHUHADA PARK,,,3117,ASF FOUNDATION,0
BL007625,400030939431,32989575,7003018458,F0401,335,,CTO-64969,CTO,A3-G,148,SHAH FAISAL,AMR,24.8979709,67.13961672,529751,ASF FOUNDATION,,,3117,ASF FOUNDATION,0
BL005934,400026461489,32566135,7002586119,F0401,335,2852384120303,CTO-48983,CTO,A3-G,148,SHAH FAISAL,AMR,24.93062156,67.17883565,524971,CHIEF SECURITY OFFICER ASF PMT,,,587,CHIEF SECURITY OFFICER ASF PMT,Check Meter # CTO-48984
BL007626,400030939423,32989574,7003018457,F0401,335,,CTO-64968,CTO,A3-G_DG,148,SHAH FAISAL,AMR,24.89799037,67.13959392,529751,ASF FOUNDATION,,,3117,ASF FOUNDATION,0
BH000520,400002254911,30536215,7000202843,F0404,303,2852283631501,HTO-3260,HTO,C-2_TOD,118,DEFENCE,AMR,24.83596785,67.04940666,505017,PNS SHIFA S/S BH-520,13,BUREAU OF LAB,13,TELEPHONE EXCHANGE PHASE-II,0
BL004810,400024251479,32346640,7002364556,F0401,335,2852384110111,CTO-52208,CTO,A3-G,130,JOHAR,AMR,24.90914998,67.14784138,523629,CSO ASF AIRGUARDS CO. PMT,,,1231,CSO ASF AIRGUARDS CO. PMT,Check Meter # CTO-62126
BL005665,400025225137,32448980,7002467591,F0401,335,2852384110154,CTO-39130,CTO,A3-G,130,JOHAR,AMR,24.90994303,67.14692976,511532,CHIEF SECURITY OFFICER ASF,,,1231,CSO ASF AIRGUARDS CO. PMT,Check Meter # CTO-78254
BH001099,400002256043,30536550,7000202911,F0404,303,2852283631773,HTO-3350,HTO,C-2_TOD,118,DEFENCE,AMR,24.83621005,67.04942878,505016,PNS SHIFA S/S BH-061,13,BUREAU OF LAB,13,TELEPHONE EXCHANGE PHASE-II,0
LA928936,400002053487,30518710,7000208479,F1101,1304,2852283520057,TY58980,Three,A3-G,125,CLIFTON,Non AMR,24.82890985,67.04090171,8283,SALIMA APPT CORP. BUILDER,,,90,SALIMA APPT CORP. BUILDER,0
LA928937,400002053697,30518724,7000209099,F1101,1304,2852283520041,WT08103,Three,A3-G,125,CLIFTON,Non AMR,24.82871755,67.04110187,8283,SALIMA APPT CORP. BUILDER,,,90,SALIMA APPT CORP. BUILDER,0
LA646912,400002152744,30532064,7000220091,F1101,1304,2852283513029,TY03154,Three,A3-G,125,CLIFTON,Non AMR,24.82873702,67.04085678,8283,SALIMA APPT CORP. BUILDER,,,90,SALIMA APPT CORP. BUILDER,0
DP002319,400024221421,32340909,7002358744,F1101,1304,2752283340154,Hook Connection,Hook,A1-R,131,SADDAR,Hook,0,0,,Null,,,Null,Null,0
LA797348,400001985157,30514906,7000205074,F1101,1304,2752283280232,TT85703,Three,A3-G,131,SADDAR,Non AMR,24.85239235,67.02324506,502115,"NITRS (NPB), MOI. ISLAMABAD",,,2109,"NITRS (NPB), MOI. ISLAMABAD",0
LB097408,400002198558,30532657,7000202008,F1101,1304,2952285510048,TJ47411,Three,A3-G,147,GADAP,Non AMR,24.94985147,67.10596036,,Null,,,Null,Null,0
LB463938,400038253415,33618922,7003664228,F1101,103,,TY93664,Three,A3-G,146,KORANGI,Non AMR,24.834248,67.151227,525778,35-B AHSAN WALI PMT - 02,,,449,35-B AHSAN WALI PMT - 02,0
LB161889,400002006675,30533456,7000204374,F1101,1304,2952286114014,TJ82824,Three,A3-G,128,KIMZ,Non AMR,24.84942914,67.11813726,501470,N.T.R.S. PMT,,,459,N.T.R.S. PMT,0
LB151382,400002020120,30518211,7000207781,F1101,1304,2952287560147,TL60989,Three,A3-G,149,ORANGI-II,Non AMR,24.93882019,67.00607389,,Null,,,Null,Null,0
LB121413,400002057237,30521573,7000211516,F1101,1304,2952285790377,TJ00413,Three,A3-G,134,NEW KARACHI,Non AMR,24.98579272,67.05397177,500787,P-19/3 SEC4 MOBLE TOWER AJMAIR NAAGRI PO,,,3762,P-19/3 SEC4 MOBLE TOWER AJMAIR NAAGRI PO,0
AL349528,400002170556,30529674,7000218148,F1101,1306,2752282543361,TJ82596,Three,A3-G,123,GULSHAN,Non AMR,24.92852522,67.10422128,523835,C-10 Bl-7 PMT,,,351,C-10 Bl-7 PMT,0
AL345032,400002170408,30529656,7000218134,F1101,1306,2752282543353,TJ82577,Three,A3-G,123,GULSHAN,Non AMR,24.92853495,67.10426889,523835,C-10 Bl-7 PMT,,,351,C-10 Bl-7 PMT,0
AM383127,400042206863,34037912,7004080754,F1101,,,TY58968,Three,A3-G,149,ORANGI-II,Non AMR,24.991692,67.042083,,Null,,,Null,Null,0
AM383128,400042206693,34037913,7004080759,F1101,,,TZ09819,Three,A3-G,135,MALIR,Non AMR,24.8802067,67.1953367,5205,DILBOTH GOTH,,,2038,DILBOTH GOTH,0
BL007097,400028878182,32800292,7002822490,F1101,6266,,CTO-56200,CTO,A3-G,140,LAYARI-I,AMR,24.86742149,66.9826059,527999,MATRC ANF HOSPITAL PMT,,,199,MATRC ANF HOSPITAL PMT,Check Meter # CTO-56201
LA992275,400002055218,30520555,7000210231,F1101,1304,2952287421147,TJ53686,Three,A3-G,129,SITE,Non AMR,24.90675861,66.99686386,504009,SITE POLICE STATION PMT,,,836,SITE POLICE STATION PMT,0
AL166241,400002186282,,-,F1101,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
DP002708,400026150367,32535163,7002554911,F1205,1913,2752382450220,Hook Connection,Hook,E-1_I,137,BAHADURABAD,Hook,0,0,,Null,,,Null,Null,0
BL006063,400026345691,32554437,7002574457,I170201,1913,2752382450255,CTO-46228,CTO,A3-G,137,BAHADURABAD,AMR,24.88883738,67.05288313,526126,ANTI TERRORIST COURT S/S,,,1361,ANTI TERRORIST COURT S/S,Check Meter # CTO-57818
AL016126,400002162464,30519994,7000207718,I170201,7708,2752383354462,TY12391,Three,A3-G,131,SADDAR,Non AMR,24.85786711,67.0208931,503996,SECTION OFFICER D/PMT LHS,,,2008,SECTION OFFICER D/PMT LHS,0
AL019795,400002208146,30522934,7000210711,I170201,1913,2752283353674,TU67473,Three,A3-G,131,SADDAR,Non AMR,24.85800431,67.02052362,503996,SECTION OFFICER D/PMT LHS,,,2008,SECTION OFFICER D/PMT LHS,0
BL000814,400002024053,30524401,7000211642,I170201,1901,2852383564817,CTO-58792,CTO,A3-G,125,CLIFTON,AMR,24.81047306,67.02050652,7332,MUNICIPAL RESEARCH,,,84,MUNICIPAL RESEARCH,0
DP002852,400027382779,32657385,7002677852,I1501,7903,2752182520194,Hook Connection,Hook,A1-R,123,GULSHAN,Hook,0,0,,Null,,,Null,Null,0
DP002879,400027538205,32672329,7002692937,I1501,7903,2752182530122,Hook Connection,Hook,A1-R,137,BAHADURABAD,Hook,0,0,,Null,,,Null,Null,0
LB415639,400030731849,32971096,7003000444,I1501,7903,,TAA34105,Three,A3-G,137,BAHADURABAD,Non AMR,24.89790065,67.07702603,9028,GULSHAN CAMBRIDGE S/S,,,319,GULSHAN CAMBRIDGE S/S,0
DP002773,400026978546,32617310,7002637581,I1501,7903,2952185640408,Hook Connection,Hook,A1-R,132,F B AREA,Hook,0,0,500430,SHAREEF PLAZA(OPP APWA COLLEGE),,,556,SHAREEF PLAZA(OPP APWA COLLEGE),0
LB371410,400030946764,32990401,7003019278,I1501,7903,,SFA46483,Single,A3-G,132,F B AREA,Non AMR,24.9188658,67.05271885,500430,SHAREEF PLAZA(OPP APWA COLLEGE),,,556,SHAREEF PLAZA(OPP APWA COLLEGE),0
AL013470,400002208928,30523010,7000210793,I1501,7903,2752183353968,CTO-89350,CTO,A3-G,131,SADDAR,AMR,24.85715251,67.01953892,130,COURT ROAD RMU PMT,,,2008,SECTION OFFICER D/PMT LHS,0
AL135515,400002073089,30528366,7000216095,I1501,7903,2752183352880,TY50722,Three,E-1_II,131,SADDAR,Non AMR,24.85875419,67.02276696,171364,HIGH COURT ANEXIE SS,,,175,HIGH COURT ANEXIE SS,0
AL014198,400002208758,30522990,7000210778,I1501,7903,2752183353909,SEU73120,Single,A3-G,131,SADDAR,Non AMR,24.85752791,67.0199208,130,COURT ROAD RMU PMT,,,2008,SECTION OFFICER D/PMT LHS,0
AL441668,400009679837,30971031,7000571361,I1501,,814722370020,TU33022,Three,A2-C_B_TOD,131,SADDAR,Non AMR,24.8502861,67.0291651,504604,CENTRAL HOTEL LOCAL-2,,,757,CENTRAL HOTEL LOCAL-2,0
AL046060,400002073364,30536488,-,I1501,7903,2752183345779,93190,Single,A1-R,131,SADDAR,Non AMR,0,0,,Null,,,Null,Null,0
AL068768,400002164707,,-,I1501,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
BL001854,400002041381,30526497,7000214152,F0402,333,2752383430908,CTO-54930,CTO,A3-G,137,BAHADURABAD,AMR,24.86142971,67.03902751,11732,SHAH HOTEL PMT-1,,,3489,SHAH HOTEL PMT-1,0
BL003487,400002126891,30526960,7000216936,F0402,334,2752383440447,CTO-54929,CTO,A3-G,137,BAHADURABAD,AMR,24.86158698,67.0370933,503108,SAINT PATRICK COLLEGE ARMY SCHOOL PMT,,,364,SAINT PATRICK COLLEGE ARMY SCHOOL PMT,Check Meter # CTO-56413
LB374522,400028068660,32725276,7002745931,F0402,332,2852384322798,TZ16981,Three,A3-G,137,BAHADURABAD,Non AMR,24.85480211,67.0552361,511687,LITTLE MASTER PARK PMT,,,1175,LITTLE MASTER PARK PMT,0
AL497683,400002240902,32334043,7002351816,F0402,5101,2852384438400,AL497683,Single,A2-C_B,145,TIPUSULTAN,Non AMR,24.8991946,67.0733351,,Null,,,Null,Null,0
BL005863,400025975837,32518171,7002537389,F0402,335,2852384180276,CTO-39588,CTO,A3-G,135,MALIR,AMR,24.9529749,67.342728,524534,CADET COLLEGE GADAP PMT,,,589,CADET COLLEGE GADAP PMT,0
BL005863,400025399429,32461269,7002480127,F0402,335,2952388110285,CTO-39588,CTO,E-1_I,142,BIN QASIM,AMR,24.9529749,67.342728,524534,CADET COLLEGE GADAP PMT,,,589,CADET COLLEGE GADAP PMT,0
DP002790,400027090287,32628341,7002648618,F0402,332,2852384322786,Hook,Inactive,E-1_I,145,TIPUSULTAN,Inactive,0,0,,Null,,,Null,Null,0
BL000082,400002073402,,-,F0402,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
TL032492,400002256388,,-,F0402,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
BL003352,400035631850,33395033,-,F0402,2976,,Moveout,Moveout,A3-G,145,TIPUSULTAN,Moveout,24.89122423,67.12199628,,Null,,,Null,Null,0
LB415285,400029550601,32862571,7002891489,D0501,2712,,TU16531,Three,A2-C_B_TOD,137,BAHADURABAD,Non AMR,24.86095119,67.04277087,503362,HUSSAINI IMAM BARGAH RMU PMT-2,,,3489,SHAH HOTEL PMT-1,0
AL004740,400002099347,30515855,7000204484,J0301,5701,2752481522535,TU31546,Three,A1-R,144,LAYARI-II,Non AMR,24.86090799,66.9981255,6269,LYARI TEL. EXC.S/S LOCAL,,,577,LYARI TEL. EXC.S/S LOCAL,0
LA988080,400037321336,33540773,7002023569,J0301,5701,,SFE99948,Single,A1-R,144,LAYARI-II,Non AMR,24.85764,66.998485,12027,OLD TOWN RMU-2 PMT,,,678,OLD TOWN RMU-2 PMT,0
AL034935,400002018606,30535163,7000201047,J0301,5701,2752483339096,TZ35962,Three,A3-G,131,SADDAR,Non AMR,24.86029745,67.02328663,165,ELAHI CENTER SS,,,737,ELAHI CENTER SS,0
AL005975,400002079826,30515329,7000203725,J0301,5701,2752483441680,SCS07311,Single,A1-R,131,SADDAR,Non AMR,24.86003461,67.02981681,11797,ALLAH RAKHA D/PMT-1 LHS,,,896,ALLAH RAKHA D/PMT-1 LHS,0
AL213486,400002079575,30515309,7000203706,J0301,5701,2752483441672,TY46249,Three,A1-R,131,SADDAR,Non AMR,24.86003461,67.02981681,11797,ALLAH RAKHA D/PMT-1 LHS,,,896,ALLAH RAKHA D/PMT-1 LHS,0
AL016124,400002162871,30520331,7000207750,J0301,5701,2752483354567,TF73196,Three,A3-G,131,SADDAR,Non AMR,24.85501111,67.02218089,503996,SECTION OFFICER D/PMT LHS,,,2008,SECTION OFFICER D/PMT LHS,0
AL000031,400002025181,30534272,7000219486,J0301,5701,2752481341492,TZ35975,Three,A1-R,140,LAYARI-I,Non AMR,24.85895741,67.00131129,12028,USMAN MASJID PMT,,,851,USMAN MASJID PMT,0
AL005162,400002023607,30534218,7000219434,J0301,5701,2752481333228,SFF19972,Single,A3-G,140,LAYARI-I,Non AMR,24.85376076,67.00126838,505442,CAFE MOMIN PMT,,,3010,CAFE MOMIN PMT,0
AL284383,400002025998,30534308,7000219517,J0301,5701,2752481347261,TJ82833,Three,A1-R,140,LAYARI-I,Non AMR,24.85700588,67.00163014,12029,HAJI RAHEEMUDDIN PMT,,,3010,CAFE MOMIN PMT,0
AL018318,400002036377,30527437,7000216935,J0301,5701,2752481354128,TY50702,Three,E-1_II,140,LAYARI-I,Non AMR,24.85088094,66.99664693,504514,MEMON MASJID PMT,,,681,MEMON MASJID PMT,0
AL000914,400002027133,30534326,7000219548,J0301,5701,2752481347288,92925,Single,A1-R,140,LAYARI-I,Non AMR,24.85710292,67.00166769,12029,HAJI RAHEEMUDDIN PMT,,,3010,CAFE MOMIN PMT,0
AL010630,400002019114,30533764,7000218667,J0301,5701,2752481322587,SFL98616,Single,A3-G,140,LAYARI-I,Non AMR,24.8535548,66.99692387,173346,EMBANKMENT ROAD P-15 RMU,,,680,EMBANKMENT ROAD P-15 RMU,0
AP021957,400002199775,30532500,7000219221,J0301,5701,2752481114507,TY17347,Three,A1-R,138,GARDEN,Non AMR,24.8595358,67.0138529,512846,NA-249 PMT,,,1189,NA-249 PMT,0
AL063857,400002215762,30533208,7000220540,J0301,5701,2752483346513,TY39953,Three,A1-R,131,SADDAR,Non AMR,24.85677954,67.02758119,171398,EIK BLOCK 51-D/PMT-A,,,255,EIK BLOCK 51-D/PMT-A,0
AL008142,400002083548,30524330,7000213065,J0301,5701,2752483261593,SFH24863,Single,A3-G,131,SADDAR,Non AMR,24.85633416,67.01054346,506020,NEW DEHLI MUSLIM D/PMT RHS,,,174,NEW DEHLI MUSLIM D/PMT RHS,0
AL009490,400024893241,32411354,7002429382,J0301,5701,2752483210026,SAI12819,Single,A1-R,131,SADDAR,Non AMR,24.85378084,67.00591899,152,WAHAB TRUST PMT,,,1338,WAHAB TRUST PMT,0
LA717542,400002164831,30519269,7000209128,J0301,5701,2752483410998,SCY71725,Single,A3-G,131,SADDAR,Non AMR,24.8478821,67.04853829,171499,CSD D/PMT LHS,,,3148,CSD D/PMT LHS,0
AL367740,400037321220,33537273,7002070093,J0301,5701,,SEF89560,Single,A1-R,141,LANDHI,Non AMR,24.827327,67.1591216,2987,USMANIA SCHOOL 01 (D/),,,537,USMANIA SCHOOL 01 (D/),0
AL084184,400022155437,32116036,7002189216,J0301,5701,1315113810000,SFS03724,Single,A1-R,141,LANDHI,Non AMR,24.83678755,67.17925709,509298,GUL AHMED PMT # 02 (D/PMT R.H.S),,,526,GUL AHMED PMT # 02 (D/PMT R.H.S),0
AL694093,400002076010,30515187,7000202851,J0301,5701,2752483450264,TT85708,Three,A1-R,137,BAHADURABAD,Non AMR,24.8669068,67.04448648,11748,JUT LINE S/S,,,371,JUT LINE S/S,0
AL186102,400037486971,33566624,7001121525,J0301,5701,,TY22813,Three,A1-R,145,TIPUSULTAN,Non AMR,24.850799,67.062346,170471,P# 171/E MASJID IBLAG QURAN PMT,,,1130,P# 171/E MASJID IBLAG QURAN PMT,0
AL210045,400002006737,30535449,7000202662,J0301,5701,2852484333142,TU16548,Three,A1-R,137,BAHADURABAD,Non AMR,24.86564257,67.05226388,503856,SHIKARPUR COLONY PMT,,,251,SHIKARPUR COLONY PMT,0
AL282204,400002006497,30535432,7000202651,J0301,5701,2852484333134,SFF03312,Single,A1-R,137,BAHADURABAD,Non AMR,24.86585642,67.05202181,503104,UTILITY STORE PMT-II,,,382,UTILITY STORE PMT-II,0
AL214461,400002077335,30517431,7000205653,J0301,5701,2852484379223,TT60180,Three,A1-R,145,TIPUSULTAN,Non AMR,24.86087727,67.06274662,11288,PECHS-G S/S,,,3487,PECHS-G S/S,0
DP001958,400005574801,30540654,7000544150,J0301,5702,2952486420330,Hook Connection,Hook,A1-R,142,BIN QASIM,Hook,0,0,,Null,,,Null,Null,0
AL337326,400002182791,30534517,7000201937,J0301,5701,2952485520013,TAA33923,Three,A3-G,132,F B AREA,Non AMR,24.9149643,67.06217431,,Null,,,Null,Null,0
AL223170,400002063326,30528222,7000215629,J0301,5701,2952485725553,SEO39809,Single,A1-R,134,NEW KARACHI,Non AMR,24.99147974,67.08156064,3047,"P-58/6/4, SEC-5G, N.K",,,645,"P-58/6/4, SEC-5G, N.K",0
AL093348,400002233876,30530218,7000219047,J0301,5701,2952485137228,SAJ36444,Single,A1-R,136,NAZIMABAD,Non AMR,24.91936963,67.03036632,510141,AHBAB SWEET-1 PMT,,,3414,AHBAB SWEET-1 PMT,0
AL066604,400002261322,30516239,7000204497,J0301,5701,2952485481751,TZ66802,Three,A1-R,127,LIAQATABAD,Non AMR,24.90339863,67.0545394,552,DAK KHANA CHOWK PMT-1,,,559,DAK KHANA CHOWK PMT-1,0
AL717927,400037315263,33536059,7000891330,J0301,5701,,TZ11255,Three,A3-G,132,F B AREA,Non AMR,24.9386814,67.0838766,,Null,,,Null,Null,0
AL220363,400037319897,33536060,7000891364,J0301,5701,,TZ11265,Three,A1-R,132,F B AREA,Non AMR,24.9386883,67.0839532,10343,DOST MUHAMMAD GOTH,,,344,DOST MUHAMMAD GOTH,0
AL306852,400002235364,30530407,7000219201,J0301,5701,2952485141969,TL96414,Three,A1-R,136,NAZIMABAD,Non AMR,24.91396176,67.02343717,524430,Jama Masjid PMT-3,,,3582,Hamid Khan,0
AL093347,400042699851,34058958,7001826487,J0301,5701,,SFU67321,Single,A1-R,136,NAZIMABAD,Non AMR,24.9189507,67.0300825,510141,AHBAB SWEET-1 PMT,,,3414,AHBAB SWEET-1 PMT,0
AL089454,400002012829,30517191,7000203103,J0301,5701,2752481311925,TZ92040,Three,A3-G,140,LAYARI-I,Non AMR,24.85242308,66.99374914,510362,JUMBO CENTER D/PMT(LHS),,,1299,JUMBO CENTER D/PMT(LHS),0
DP000691,400002055498,30526424,7000215152,J0301,5702,2952487741017,Hook Connection,Hook,A1-R,129,SITE,Hook,0,0,,Null,,,Null,Null,0
LB245816,400025223738,32446005,7002464533,J0301,5701,2752481310023,TU54238,Three,A3-G,140,LAYARI-I,Non AMR,24.85239144,66.99376155,505446,NAKSH BANDI PMT,,,680,EMBANKMENT ROAD P-15 RMU,0
AL004008,400002017316,30517262,7000203173,J0301,5701,2752481312417,SFG66126,Single,A1-R,140,LAYARI-I,Non AMR,24.85125606,66.99439824,503539,MACHI MIANI LOCAL PMT-1,,,845,MACHI MIANI LOCAL PMT-1,0
AM268176,400043488323,34133354,7003715561,J0301,5701,,SFU67338,Single,A1-R,129,SITE,Non AMR,24.89522,67.01949,170995,P-25 SHAIKH SONS DPMT RHS,,,812,P-25 SHAIKH SONS DPMT RHS,0
AL186389,400002115334,30519956,7000209094,J0301,5701,2952485641694,CTO-88017,CTO,A3-G,132,F B AREA,AMR,24.93381236,67.06179209,1312,"SHADAB MASJID BL-11, B-284/10",,,1200,"SHADAB MASJID BL-11, B-284/10",0
AL719087,400037319943,33536745,7000667156,J0301,5701,,TU81124,Three,A1-R,145,TIPUSULTAN,Non AMR,24.8580446,67.0539839,522445,ICA S/S LOCAL,,,1119,ICA S/S LOCAL,0
AL227683,400002235895,30530824,7000219903,J0301,5701,2952485110303,SEL15494,Single,A1-R,136,NAZIMABAD,Non AMR,24.89189544,67.02887971,500694,GULBAHAR NO. 2 S/S,,,2018,GULBAHAR NO. 2 S/S,0
AL055198,400002179952,30528677,7000213743,J0301,5703,2752481670267,SAY44281,Single,A3-G,140,LAYARI-I,Non AMR,24.87128008,66.97742354,173366,MACHAR COLONY PMT-1,,,571,MACHAR COLONY PMT-1,0
AL115228,400002008686,30535465,7000202687,J0301,5701,2852484333762,TU81533,Three,A1-R,137,BAHADURABAD,Non AMR,24.8672262,67.04871297,524689,FAIZAN ANWER PMT,,,382,UTILITY STORE PMT-II,0
AL214612,400002233377,30531468,7000219889,J0301,5701,2852484342451,TZ23990,Three,A1-R,137,BAHADURABAD,Non AMR,24.8713175,67.05197655,503019,GHAZALI ROAD PMT,,,362,GHAZALI ROAD PMT,0
AL028238,400002233345,30531451,7000219275,J0301,5701,2852484342427,TY58934,Three,A1-R,137,BAHADURABAD,Non AMR,24.87126822,67.05196884,503095,GHAZALI ROAD PMT,,,361,GHAZALI ROAD PMT,0
LB415189,400030731490,32970211,7002999510,J0301,5701,,TS08089,Three,A1-R_TOD,137,BAHADURABAD,Non AMR,24.89430261,67.05093786,525371,DEGREE COLLEGE D/PMT LHS,,,357,CLAYTON QTR PMT-2,0
AL022659,400002082630,30524857,7000211944,J0301,5701,2752482455815,TT84561,Three,A1-R,137,BAHADURABAD,Non AMR,24.89425882,67.05076586,170571,PIR BUILDER PMT-1,,,1126,PIR BUILDER PMT-1,0
AL009927,400002093187,30516176,7000204309,J0301,5701,2752483136950,SFO41084,Single,A1-R,125,CLIFTON,Non AMR,24.82326006,66.97770316,12643,TARACHAND ROAD PMT-3,,,1171,TARACHAND ROAD PMT-3,0
AL007743,400002093365,30516198,7000204326,J0301,5701,2752483136969,SEO42576,Single,A3-G,125,CLIFTON,Non AMR,24.82319373,66.97769042,12643,TARACHAND ROAD PMT-3,,,1171,TARACHAND ROAD PMT-3,0
AL057888,400002194218,30535517,7000202615,J0301,5701,2852484351167,TU66819,Three,A1-R,137,BAHADURABAD,Non AMR,24.87184495,67.05882087,11319,PECHS-V S/S,,,362,GHAZALI ROAD PMT,0
AL017988,400002162537,30529568,7000219978,J0301,5701,2752481731053,TU20500,Three,A1-R_TOD,138,GARDEN,Non AMR,24.8600137,67.0097038,174946,CHAND BIBI ROAD PMT,,,242,CHAND BIBI ROAD PMT,0
AL163470,400002084797,30521333,7000206903,J0301,5701,2752481710463,SFL91084,Single,A1-R,138,GARDEN,Non AMR,24.85987429,67.00642359,7038,PUNKHA POLICE PMT-2,,,200,PUNKHA POLICE PMT-2,0
AL009496,400002084595,30521315,7000206879,J0301,5701,2752481710455,TY98045,Three,A1-R,138,GARDEN,Non AMR,24.85989529,67.00643767,7038,PUNKHA POLICE PMT-2,,,200,PUNKHA POLICE PMT-2,0
AL923268,400002219757,30517334,7000205608,J0301,5701,2852483712549,SCY61181,Single,A1-R,118,DEFENCE,Non AMR,24.79930059,67.06965968,10487,11TH STREET KH-E-BUKHARI,,,3467,11TH STREET KH-E-BUKHARI,0
AL923267,400002219709,30517018,7000205591,J0301,5701,2852483712530,TZ12311,Three,A3-G,118,DEFENCE,Non AMR,24.7992942,67.0696637,10487,11TH STREET KH-E-BUKHARI,,,3467,11TH STREET KH-E-BUKHARI,0
AL056087,400002207867,30524345,7000213134,J0301,5701,2752481212838,TY41652,Three,A3-G,144,LAYARI-II,Non AMR,24.85999233,67.00380877,506056,KACHRA KUNDI PMT,,,746,KACHRA KUNDI PMT,0
LB221082,400002115547,30521766,7000212799,J0301,5701,2752482441016,SCO66737,Single,A1-R,137,BAHADURABAD,Non AMR,24.88573179,67.04475872,504178,CLAYTON QTR PMT-2,,,357,CLAYTON QTR PMT-2,0
AL042009,400002139284,30524935,7000210298,J0301,5701,2752482442411,TZ48960,Three,A1-R,137,BAHADURABAD,Non AMR,24.88535678,67.04512987,525371,DEGREE COLLEGE D/PMT LHS,,,357,CLAYTON QTR PMT-2,0
AL015348,400002085877,30524425,7000213126,J0301,5701,2752483263448,TY15681,Three,A3-G,131,SADDAR,Non AMR,24.8559831,67.0123278,504346,ARAM BAGH LOCAL-1,,,378,ARAM BAGH LOCAL-1,0
AL253645,400002085419,30524388,7000213093,J0301,5701,2752483263413,TZ92058,Three,A3-G,131,SADDAR,Non AMR,24.85618662,67.01267615,504346,ARAM BAGH LOCAL-1,,,378,ARAM BAGH LOCAL-1,0
AL079132,400002115288,30530954,7000219013,J0301,5701,2952485420167,TZ47947,Three,A1-R,127,LIAQATABAD,Non AMR,24.90103148,67.04489518,552,DAK KHANA CHOWK PMT-1,,,559,DAK KHANA CHOWK PMT-1,0
AL005511,400002031920,30522582,7000211692,J0301,5701,2752483277023,TJ38560,Three,A1-R,131,SADDAR,Non AMR,24.85717228,67.01785583,7060,EID GAH PMT - 2,,,2056,EID GAH PMT - 2,0
AL201558,400002024077,30519724,7000208390,J0301,5701,2952487521351,SEO68384,Single,A3-G,150,ORANGI-I,Non AMR,24.98076705,67.03565899,3648,P-3/2 MAZAR BABA MANGOPIR PMT,,,1118,P-3/2 MAZAR BABA MANGOPIR PMT,0
